customer_id,total_revenue,order_count,last_order,recency_days,R_score,F_score,M_score,segment
C0162,8106.52,6,2025-11-26,35,4,4,4,High Value
C0163,5080.01,6,2025-11-30,31,4,4,4,High Value
C0164,2802.74,4,2025-08-02,151,2,3,3,Loyal
C0165,994.2,2,2025-12-18,13,4,1,1,Developing
C0166,658.95,3,2025-09-11,111,3,2,1,Developing
C0167,1414.52,4,2025-03-04,302,1,3,2,Loyal
C0168,2830.96,5,2025-12-22,9,4,4,3,High Value
C0169,1787.27,3,2025-06-27,187,2,2,2,At Risk
C0171,365.78,1,2025-09-29,93,3,1,1,Developing
C0172,2209.81,2,2025-09-12,110,3,1,2,Developing
C0173,1221.98,2,2024-11-06,420,1,1,1,At Risk
C0174,1862.67,5,2025-05-10,235,2,4,2,Loyal
C0175,893.62,2,2025-04-29,246,2,1,1,At Risk
C0176,262.54999999999995,2,2024-11-08,418,1,1,1,At Risk
C0177,1760.6,3,2025-03-24,282,1,2,2,At Risk
C0178,4451.47,5,2025-03-03,303,1,4,4,Loyal
C0179,2621.94,2,2025-07-23,161,2,1,3,At Risk
C0180,2148.8700000000003,3,2025-11-13,48,4,2,2,Developing
C0181,332.74,2,2024-08-20,498,1,1,1,At Risk
C0182,1530.38,2,2024-11-26,400,1,1,2,At Risk
C0183,2758.64,5,2025-08-01,152,2,4,3,Loyal
C0184,2325.73,2,2025-02-17,317,1,1,3,At Risk
C0185,2017.84,3,2025-08-19,134,3,2,2,Developing
C0186,2216.16,2,2024-08-17,501,1,1,2,At Risk
C0187,2307.38,3,2025-04-16,259,2,2,3,At Risk
C0188,1397.92,3,2024-08-31,487,1,2,2,At Risk
C0189,4203.86,4,2025-01-06,359,1,3,4,Loyal
C0190,2586.43,3,2025-09-22,100,3,2,3,Developing
C0191,2568.3199999999997,5,2025-08-13,140,3,4,3,High Value
C0192,44.11,1,2025-04-30,245,2,1,1,At Risk
C0193,1925.59,2,2025-11-13,48,4,1,2,Developing
C0194,1921.0,3,2025-03-26,280,1,2,2,At Risk
C0195,2304.0499999999997,3,2025-06-16,198,2,2,3,At Risk
C0197,6080.700000000001,5,2025-10-15,77,3,4,4,High Value
C0198,2528.86,5,2025-05-25,220,2,4,3,Loyal
C0199,2092.08,5,2025-09-23,99,3,4,2,Loyal
C0200,2614.41,3,2025-02-11,323,1,2,3,At Risk
C0201,633.46,1,2024-04-17,623,1,1,1,At Risk
C0202,417.44,1,2025-12-11,20,4,1,1,Developing
C0203,5203.08,4,2025-09-20,102,3,3,4,High Value
C0204,3145.4700000000003,5,2025-11-18,43,4,4,3,High Value
C0205,467.48,2,2025-06-17,197,2,1,1,At Risk
C0206,1898.4499999999998,3,2025-06-01,213,2,2,2,At Risk
C0207,3932.95,4,2025-08-08,145,3,3,4,High Value
C0208,194.28000000000003,1,2024-10-16,441,1,1,1,At Risk
C0210,2349.2400000000002,5,2025-12-18,13,4,4,3,High Value
C0211,2855.61,1,2024-08-01,517,1,1,3,At Risk
C0213,2359.39,3,2025-01-21,344,1,2,3,At Risk
C0214,3418.2500000000005,4,2025-07-11,173,2,3,3,Loyal
C0215,2392.1800000000003,3,2025-11-01,60,4,2,3,Developing
C0216,1333.82,3,2025-05-07,238,2,2,2,At Risk
C0217,4669.05,6,2025-12-27,4,4,4,4,High Value
C0218,983.8700000000001,1,2025-08-02,151,2,1,1,At Risk
C0219,4157.49,4,2025-10-16,76,3,3,4,High Value
C0220,2252.4,5,2025-11-24,37,4,4,2,Loyal
C0221,4767.36,4,2025-05-13,232,2,3,4,Loyal
C0222,1552.44,5,2025-08-16,137,3,4,2,Loyal
C0224,1107.85,3,2025-10-12,80,3,2,1,Developing
C0225,1547.6299999999999,2,2025-06-25,189,2,1,2,At Risk
C0226,596.05,2,2024-07-03,546,1,1,1,At Risk
C0227,3970.5899999999997,3,2025-12-21,10,4,2,4,Developing
C0228,484.93,1,2025-07-16,168,2,1,1,At Risk
C0229,3388.27,7,2025-09-06,116,3,4,3,High Value
C0230,2944.43,4,2025-03-05,301,1,3,3,Loyal
C0231,4904.82,4,2025-11-10,51,4,3,4,High Value
C0232,1535.44,2,2025-12-02,29,4,2,2,Developing
C0233,2510.7400000000002,2,2025-05-15,230,2,2,3,At Risk
C0234,3742.0,5,2025-12-27,4,4,4,4,High Value
C0235,2612.76,2,2025-10-03,89,3,2,3,Developing
C0236,2682.33,5,2025-10-17,75,3,4,3,High Value
C0237,1849.62,3,2025-10-03,89,3,2,2,Developing
C0238,446.32,2,2025-07-19,165,2,2,1,At Risk
C0239,2435.69,3,2025-06-07,207,2,2,3,At Risk
C0240,1399.29,2,2025-07-21,163,2,2,2,At Risk
C0241,651.8,1,2025-03-22,284,1,1,1,At Risk
C0242,596.08,2,2024-12-08,388,1,2,1,At Risk
C0243,773.8499999999999,1,2025-01-05,360,1,1,1,At Risk
C0244,149.94,1,2025-09-09,113,3,1,1,Developing
C0245,1707.89,5,2025-10-03,89,3,4,2,Loyal
C0246,1917.6,3,2025-12-30,1,4,2,2,Developing
C0247,1537.36,3,2025-11-02,59,4,2,2,Developing
C0248,5873.52,6,2025-06-09,205,2,4,4,Loyal
C0249,1461.55,3,2025-10-24,68,3,2,2,Developing
C0251,2030.72,3,2025-06-10,204,2,2,2,At Risk
C0252,5479.59,7,2025-11-19,42,4,4,4,High Value
C0253,922.39,2,2025-03-29,277,1,2,1,At Risk
C0254,4039.4,4,2025-12-27,4,4,3,4,High Value
C0255,1512.59,3,2025-12-22,9,4,2,2,Developing
C0256,2548.99,3,2025-11-11,50,4,2,3,Developing
C0257,2084.97,3,2025-07-22,162,2,2,2,At Risk
C0258,4517.78,3,2025-06-22,192,2,2,4,At Risk
C0259,3374.35,5,2024-10-06,451,1,4,3,Loyal
C0260,530.01,2,2025-07-21,163,2,2,1,At Risk
C0261,2508.09,4,2025-03-31,275,1,3,3,Loyal
C0262,11366.66,7,2025-11-01,60,3,4,4,High Value
C0263,2777.46,6,2025-04-03,272,1,4,3,Loyal
C0264,2602.16,5,2025-12-19,12,4,4,3,High Value
C0265,1292.41,3,2025-05-05,240,2,2,2,At Risk
C0266,2572.08,2,2025-07-03,181,2,2,3,At Risk
C0267,1835.38,4,2025-03-05,301,1,3,2,Loyal
C0268,5115.57,6,2025-06-26,188,2,4,4,Loyal
C0269,1179.96,2,2025-02-01,333,1,2,1,At Risk
C0270,2045.72,5,2025-06-09,205,2,4,2,Loyal
C0271,2278.29,3,2025-07-10,174,2,2,2,At Risk
C0272,1926.86,4,2025-08-25,128,3,3,2,Loyal
C0273,605.47,2,2025-05-18,227,2,2,1,At Risk
C0274,2288.1800000000003,3,2025-05-25,220,2,2,3,At Risk
C0276,3655.25,4,2025-05-26,219,2,3,4,Loyal
C0277,2498.66,3,2025-11-17,44,4,2,3,Developing
C0278,3055.11,4,2025-12-18,13,4,3,3,High Value
C0279,5180.26,6,2025-09-19,103,3,4,4,High Value
C0280,886.98,1,2024-06-11,568,1,1,1,At Risk
C0281,7095.04,9,2025-06-23,191,2,4,4,Loyal
C0282,1643.72,2,2025-09-30,92,3,2,2,Developing
C0283,303.06,1,2024-10-29,428,1,1,1,At Risk
C0284,1727.36,4,2025-12-07,24,4,3,2,Loyal
C0285,2832.4300000000003,3,2025-09-30,92,3,2,3,Developing
C0286,2097.08,3,2025-03-22,284,1,2,2,At Risk
C0287,3661.9700000000003,3,2025-06-19,195,2,3,4,Loyal
C0288,3899.13,5,2025-08-04,149,3,4,4,High Value
C0289,2736.38,3,2024-08-17,501,1,3,3,Loyal
C0290,3067.4,3,2025-09-14,108,3,3,3,High Value
C0291,2220.0,3,2025-06-03,211,2,3,2,Loyal
C0292,909.3,4,2025-04-21,254,2,3,1,Loyal
C0293,5798.4,5,2025-11-26,35,4,4,4,High Value
C0294,2105.45,4,2024-09-27,460,1,3,2,Loyal
C0295,1452.3400000000001,3,2024-03-28,643,1,3,2,Loyal
C0296,1249.38,2,2025-09-03,119,3,2,1,Developing
C0297,1830.8600000000001,4,2025-09-13,109,3,3,2,Loyal
C0298,1980.87,3,2024-06-09,570,1,3,2,Loyal
C0299,2512.46,5,2025-07-24,160,2,4,3,Loyal
C0300,4386.219999999999,3,2025-12-04,27,4,3,4,High Value
C0302,6577.210000000001,8,2025-11-08,53,4,4,4,High Value
C0303,2891.46,3,2025-10-11,81,3,3,3,High Value
C0304,975.63,2,2025-02-09,325,1,2,1,At Risk
C0305,2190.77,4,2025-06-22,192,2,3,2,Loyal
C0306,1572.9,2,2025-06-20,194,2,2,2,At Risk
C0307,2670.8900000000003,3,2025-09-04,118,3,3,3,High Value
C0308,3854.91,4,2025-07-02,182,2,3,4,Loyal
C0309,583.76,2,2025-12-15,16,4,2,1,Developing
C0310,1132.98,3,2025-12-19,12,4,3,1,Loyal
C0311,767.4300000000001,1,2024-03-10,661,1,1,1,At Risk
C0312,3682.21,3,2025-10-20,72,3,3,4,High Value
C0313,541.67,1,2025-04-04,271,1,1,1,At Risk
C0314,2421.6,4,2024-12-18,378,1,3,3,Loyal
C0315,2576.61,2,2025-09-30,92,3,2,3,Developing
C0316,1326.99,2,2024-05-13,597,1,2,2,At Risk
C0317,1543.8799999999999,2,2025-11-16,45,4,2,2,Developing
C0318,1433.27,3,2025-12-26,5,4,3,2,Loyal
C0319,2112.62,4,2025-12-19,12,4,3,2,Loyal
C0320,5620.46,6,2025-07-17,167,2,4,4,Loyal
C0321,4211.08,3,2025-08-22,131,3,3,4,High Value
C0322,227.49,1,2025-11-30,31,4,1,1,Developing
C0323,1226.59,4,2025-09-24,98,3,3,1,Loyal
C0324,2242.88,5,2025-12-09,22,4,4,2,Loyal
C0325,361.32,1,2024-02-05,695,1,1,1,At Risk
C0326,3932.15,7,2025-10-09,83,3,4,4,High Value
C0327,1409.1100000000001,4,2025-08-23,130,3,3,2,Loyal
C0328,6198.26,9,2025-06-20,194,2,4,4,Loyal
C0329,2210.75,3,2025-12-07,24,4,3,2,Loyal
C0330,152.9,1,2024-07-01,548,1,1,1,At Risk
C0331,1794.3,3,2025-01-05,360,1,3,2,Loyal
C0332,3964.32,4,2025-11-14,47,4,3,4,High Value
C0333,3457.01,4,2025-12-19,12,4,3,3,High Value
C0334,1220.89,1,2025-04-30,245,2,1,1,At Risk
C0335,4144.49,4,2025-12-04,27,4,3,4,High Value
C0337,3916.4,7,2025-12-03,28,4,4,4,High Value
C0338,2806.29,4,2025-07-21,163,2,3,3,Loyal
C0339,189.32,1,2025-01-22,343,1,1,1,At Risk
C0340,5408.139999999999,6,2025-07-21,163,2,4,4,Loyal
C0341,2260.29,2,2025-03-28,278,1,2,2,At Risk
C0342,2384.37,5,2025-12-23,8,4,4,3,High Value
C0343,3596.92,5,2025-06-29,185,2,4,4,Loyal
C0344,1501.83,3,2025-10-25,67,3,3,2,Loyal
C0345,56.82,1,2024-04-21,619,1,1,1,At Risk
C0346,2542.0299999999997,4,2025-06-22,192,2,3,3,Loyal
C0347,1349.14,4,2025-02-21,313,1,3,2,Loyal
C0348,4175.81,5,2025-06-02,212,2,4,4,Loyal
C0349,4691.88,4,2025-03-02,304,1,3,4,Loyal
C0350,1635.32,4,2025-07-26,158,2,3,2,Loyal
