review_id,order_id,review_score,delivery_days
R00377,O00377,4,4
R00378,O00378,4,4
R00379,O00379,5,10
R00380,O00380,5,10
R00381,O00381,4,1
R00382,O00382,5,8
R00383,O00383,3,16
R00384,O00384,5,3
R00385,O00385,5,14
R00386,O00386,5,8
R00387,O00387,4,9
R00388,O00388,4,11
R00389,O00389,3,12
R00390,O00390,2,11
R00391,O00391,4,2
R00392,O00392,5,6
R00393,O00393,4,15
R00394,O00394,4,1
R00395,O00395,5,13
R00396,O00396,3,9
R00397,O00397,3,3
R00398,O00398,5,3
R00399,O00399,2,17
R00400,O00400,4,1
R00401,O00401,4,1
R00402,O00402,3,1
R00403,O00403,3,11
R00404,O00404,3,16
R00405,O00405,4,3
R00406,O00406,5,14
R00407,O00407,4,13
R00408,O00408,4,4
R00409,O00409,4,2
R00410,O00410,5,9
R00411,O00411,2,2
R00412,O00412,5,2
R00413,O00413,4,8
R00414,O00414,5,14
R00415,O00415,4,17
R00416,O00416,2,11
R00417,O00417,4,5
R00418,O00418,3,6
R00419,O00419,5,11
R00420,O00420,5,3
R00421,O00421,5,9
R00422,O00422,3,14
R00423,O00423,5,15
R00424,O00424,4,2
R00425,O00425,5,5
R00426,O00426,5,5
R00427,O00427,4,10
R00428,O00428,5,4
R00429,O00429,4,17
R00430,O00430,4,16
R00431,O00431,3,6
R00432,O00432,5,7
R00433,O00433,4,8
R00434,O00434,1,1
R00435,O00435,5,16
R00436,O00436,1,14
R00437,O00437,5,6
R00438,O00438,3,10
R00439,O00439,4,7
R00440,O00440,5,4
R00441,O00441,2,6
R00442,O00442,5,2
R00443,O00443,5,14
R00444,O00444,5,12
R00445,O00445,3,16
R00446,O00446,5,1
R00447,O00447,4,11
R00448,O00448,4,10
R00449,O00449,4,11
R00450,O00450,4,17
R00451,O00451,4,7
R00452,O00452,2,3
R00453,O00453,4,1
R00454,O00454,5,9
R00455,O00455,4,3
R00456,O00456,3,3
R00457,O00457,4,3
R00458,O00458,4,5
R00459,O00459,5,2
R00460,O00460,5,9
R00461,O00461,4,12
R00462,O00462,5,5
R00463,O00463,2,3
R00464,O00464,5,10
R00465,O00465,4,2
R00466,O00466,4,13
R00467,O00467,3,7
R00468,O00468,2,7
R00469,O00469,5,5
R00470,O00470,3,5
R00471,O00471,3,3
R00472,O00472,3,10
R00473,O00473,5,3
R00474,O00474,5,12
R00475,O00475,5,5
R00476,O00476,5,10
R00477,O00477,5,10
R00478,O00478,4,11
R00479,O00479,3,13
R00480,O00480,4,10
R00481,O00481,3,15
R00482,O00482,5,5
R00483,O00483,1,13
R00484,O00484,3,6
R00485,O00485,5,11
R00486,O00486,2,9
R00487,O00487,1,16
R00488,O00488,2,5
R00489,O00489,5,9
R00490,O00490,2,3
R00491,O00491,3,11
R00492,O00492,3,1
R00493,O00493,5,7
R00494,O00494,3,1
R00495,O00495,1,6
R00496,O00496,5,9
R00497,O00497,5,6
R00498,O00498,3,7
R00499,O00499,3,3
R00500,O00500,3,13
R00501,O00501,5,14
R00502,O00502,3,8
R00503,O00503,5,1
R00504,O00504,5,2
R00505,O00505,4,12
R00506,O00506,1,16
R00507,O00507,5,15
R00508,O00508,5,7
R00509,O00509,5,9
R00510,O00510,2,3
R00511,O00511,5,2
R00512,O00512,5,14
R00513,O00513,5,8
R00514,O00514,4,9
R00515,O00515,4,6
R00516,O00516,4,6
R00517,O00517,5,17
R00518,O00518,5,14
R00519,O00519,4,12
R00520,O00520,3,7
R00521,O00521,1,13
R00522,O00522,5,6
R00523,O00523,5,9
R00524,O00524,2,3
R00525,O00525,4,13
R00526,O00526,5,2
R00527,O00527,4,13
R00528,O00528,3,11
R00529,O00529,4,2
R00530,O00530,4,9
R00531,O00531,2,4
R00532,O00532,5,9
R00533,O00533,4,1
R00534,O00534,5,13
R00535,O00535,5,9
R00536,O00536,1,7
R00537,O00537,3,15
R00538,O00538,3,11
R00539,O00539,2,11
R00540,O00540,5,3
R00541,O00541,2,9
R00542,O00542,5,12
R00543,O00543,3,16
R00544,O00544,2,11
R00545,O00545,3,3
R00546,O00546,4,12
R00547,O00547,5,2
R00548,O00548,5,6
R00549,O00549,2,16
R00550,O00550,5,14
R00551,O00551,5,16
R00552,O00552,4,6
R00553,O00553,2,12
R00554,O00554,3,12
R00555,O00555,2,5
R00556,O00556,5,17
R00557,O00557,4,17
R00558,O00558,4,2
R00559,O00559,5,14
R00560,O00560,4,8
R00561,O00561,5,12
R00562,O00562,2,10
R00563,O00563,4,4
R00564,O00564,2,2
R00565,O00565,3,9
R00566,O00566,3,15
R00567,O00567,5,14
R00568,O00568,5,5
R00569,O00569,5,15
R00570,O00570,2,7
R00571,O00571,5,10
R00572,O00572,1,6
R00573,O00573,5,9
R00574,O00574,5,9
R00575,O00575,4,12
R00576,O00576,4,9
R00577,O00577,5,9
R00578,O00578,5,12
R00579,O00579,2,8
R00580,O00580,5,9
R00581,O00581,2,2
R00582,O00582,4,15
R00583,O00583,5,3
R00584,O00584,5,15
R00585,O00585,4,13
R00586,O00586,3,17
R00587,O00587,4,1
R00588,O00588,3,4
R00589,O00589,4,1
R00590,O00590,4,8
R00591,O00591,5,16
R00592,O00592,3,14
R00593,O00593,3,12
R00594,O00594,4,15
R00595,O00595,1,1
R00596,O00596,3,14
R00597,O00597,4,6
R00598,O00598,4,12
R00599,O00599,3,13
R00600,O00600,4,12
R00601,O00601,5,8
R00602,O00602,4,11
R00603,O00603,3,8
R00604,O00604,2,11
R00605,O00605,2,8
R00606,O00606,4,7
R00607,O00607,5,4
R00608,O00608,1,7
R00609,O00609,3,13
R00610,O00610,4,15
R00611,O00611,4,2
R00612,O00612,5,4
R00613,O00613,3,9
R00614,O00614,2,12
R00615,O00615,4,3
R00616,O00616,2,6
R00617,O00617,2,1
R00618,O00618,4,1
R00619,O00619,4,3
R00620,O00620,2,13
R00621,O00621,5,15
R00622,O00622,4,9
R00623,O00623,2,3
R00624,O00624,5,16
R00625,O00625,3,5
R00626,O00626,5,3
R00627,O00627,5,3
R00628,O00628,4,7
R00629,O00629,3,13
R00630,O00630,5,7
R00631,O00631,4,8
R00632,O00632,3,6
R00633,O00633,4,17
R00634,O00634,4,12
R00635,O00635,5,12
R00636,O00636,5,8
R00637,O00637,5,10
R00638,O00638,5,16
R00639,O00639,5,12
R00640,O00640,4,14
R00641,O00641,5,1
R00642,O00642,5,15
R00643,O00643,5,17
R00644,O00644,5,12
R00645,O00645,4,17
R00646,O00646,3,10
R00647,O00647,5,5
R00648,O00648,1,11
R00649,O00649,3,11
R00650,O00650,4,3
R00651,O00651,4,4
R00652,O00652,4,5
R00653,O00653,3,10
R00654,O00654,2,3
R00655,O00655,3,14
R00656,O00656,4,2
R00657,O00657,1,16
R00658,O00658,5,12
R00659,O00659,3,6
R00660,O00660,4,7
R00661,O00661,4,12
R00662,O00662,4,2
R00663,O00663,5,13
R00664,O00664,3,10
R00665,O00665,4,4
R00666,O00666,5,16
R00667,O00667,1,11
R00668,O00668,5,3
R00669,O00669,5,12
R00670,O00670,5,7
R00671,O00671,5,13
R00672,O00672,4,9
R00673,O00673,4,17
R00674,O00674,2,16
R00675,O00675,1,1
R00676,O00676,3,7
R00677,O00677,4,4
R00678,O00678,4,8
R00679,O00679,3,3
R00680,O00680,5,10
R00681,O00681,3,3
R00682,O00682,4,11
R00683,O00683,3,8
R00684,O00684,5,17
R00685,O00685,4,15
R00686,O00686,5,11
R00687,O00687,1,8
R00688,O00688,4,13
R00689,O00689,5,12
R00690,O00690,1,3
R00691,O00691,4,7
R00692,O00692,1,17
R00693,O00693,3,6
R00694,O00694,4,1
R00695,O00695,3,15
R00696,O00696,4,16
R00697,O00697,5,12
R00698,O00698,3,11
R00699,O00699,2,6
R00700,O00700,5,7
R00701,O00701,4,16
R00702,O00702,5,15
R00703,O00703,4,9
R00704,O00704,5,6
R00705,O00705,5,4
R00706,O00706,3,1
R00707,O00707,5,9
R00708,O00708,5,10
R00709,O00709,5,12
R00710,O00710,3,14
R00711,O00711,4,7
R00712,O00712,2,3
R00713,O00713,5,15
R00714,O00714,2,13
R00715,O00715,2,10
R00716,O00716,5,1
R00717,O00717,4,8
R00718,O00718,4,11
R00719,O00719,3,15
R00720,O00720,5,9
R00721,O00721,3,8
R00722,O00722,4,7
R00723,O00723,4,8
R00724,O00724,4,1
R00725,O00725,3,2
R00726,O00726,3,13
R00727,O00727,5,7
R00728,O00728,3,15
R00729,O00729,3,7
R00730,O00730,4,17
R00731,O00731,4,4
R00732,O00732,5,4
R00733,O00733,4,10
R00734,O00734,5,14
R00735,O00735,5,3
R00736,O00736,5,9
R00737,O00737,5,4
R00738,O00738,3,13
R00739,O00739,5,10
R00740,O00740,5,12
R00741,O00741,4,5
R00742,O00742,3,5
R00743,O00743,3,11
R00744,O00744,5,6
R00745,O00745,4,12
R00746,O00746,5,3
R00747,O00747,4,6
R00748,O00748,4,2
R00749,O00749,3,2
R00750,O00750,3,5
R00751,O00751,2,9
R00752,O00752,5,3
R00753,O00753,4,2
R00754,O00754,5,15
R00755,O00755,5,9
R00756,O00756,5,13
R00757,O00757,4,13
R00758,O00758,5,2
R00759,O00759,5,11
R00760,O00760,5,15
R00761,O00761,2,8
R00762,O00762,5,15
R00763,O00763,2,17
R00764,O00764,2,10
R00765,O00765,5,2
R00766,O00766,5,11
R00767,O00767,3,15
R00768,O00768,2,10
R00769,O00769,5,14
R00770,O00770,2,10
R00771,O00771,1,8
R00772,O00772,5,17
R00773,O00773,5,3
R00774,O00774,4,8
R00775,O00775,4,3
R00776,O00776,4,12
R00777,O00777,3,16
R00778,O00778,5,17
R00779,O00779,5,4
R00780,O00780,4,13
R00781,O00781,3,15
R00782,O00782,3,15
R00783,O00783,1,9
R00784,O00784,3,3
R00785,O00785,1,8
R00786,O00786,5,14
R00787,O00787,3,11
R00788,O00788,5,7
R00789,O00789,4,4
R00790,O00790,5,12
R00791,O00791,5,8
R00792,O00792,4,9
R00793,O00793,2,16
R00794,O00794,5,1
R00795,O00795,1,5
R00796,O00796,3,16
R00797,O00797,1,16
R00798,O00798,5,6
R00799,O00799,1,17
R00800,O00800,4,4
R00801,O00801,4,1
R00802,O00802,5,6
R00803,O00803,3,10
R00804,O00804,5,1
R00805,O00805,5,3
R00806,O00806,4,14
R00807,O00807,4,11
R00808,O00808,5,11
R00809,O00809,5,17
R00810,O00810,4,4
R00811,O00811,4,16
R00812,O00812,1,7
R00813,O00813,2,16
R00814,O00814,1,14
R00815,O00815,1,4
R00816,O00816,3,4
R00817,O00817,5,10
R00818,O00818,5,9
R00819,O00819,5,4
R00820,O00820,5,5
R00821,O00821,5,16
R00822,O00822,2,13
R00823,O00823,5,4
R00824,O00824,3,13
R00825,O00825,4,3
R00826,O00826,5,8
R00827,O00827,5,1
R00828,O00828,3,12
R00829,O00829,5,4
R00830,O00830,2,5
R00831,O00831,1,4
R00832,O00832,1,4
R00833,O00833,3,2
R00834,O00834,5,10
R00835,O00835,4,15
R00836,O00836,1,6
R00837,O00837,5,14
R00838,O00838,4,10
R00839,O00839,4,5
R00840,O00840,4,2
R00841,O00841,4,14
R00842,O00842,4,1
R00843,O00843,5,8
R00844,O00844,5,1
R00845,O00845,4,14
R00846,O00846,4,17
R00847,O00847,1,6
R00848,O00848,5,6
R00849,O00849,4,10
R00850,O00850,3,9
R00851,O00851,5,7
R00852,O00852,4,7
R00853,O00853,2,4
R00854,O00854,3,5
R00855,O00855,4,10
R00856,O00856,5,13
R00857,O00857,4,13
R00858,O00858,3,9
R00859,O00859,4,13
R00860,O00860,4,11
R00861,O00861,1,7
R00862,O00862,5,7
R00863,O00863,1,9
R00864,O00864,5,6
R00865,O00865,5,13
R00866,O00866,2,4
R00867,O00867,5,1
R00868,O00868,5,9
R00869,O00869,5,2
R00870,O00870,4,4
R00871,O00871,1,7
R00872,O00872,1,1
R00873,O00873,5,4
R00874,O00874,2,10
R00875,O00875,3,7
R00876,O00876,4,16
R00877,O00877,3,2
R00878,O00878,5,13
R00879,O00879,5,11
R00880,O00880,5,11
R00881,O00881,1,12
R00882,O00882,4,1
R00883,O00883,5,14
R00884,O00884,4,6
R00885,O00885,5,12
R00886,O00886,4,5
R00887,O00887,4,7
R00888,O00888,3,12
R00889,O00889,5,16
R00890,O00890,2,15
R00891,O00891,5,13
R00892,O00892,4,10
R00893,O00893,2,9
R00894,O00894,5,17
R00895,O00895,4,4
R00896,O00896,3,17
R00897,O00897,5,12
R00898,O00898,5,11
R00899,O00899,4,11
R00900,O00900,5,14
R00901,O00901,4,12
R00902,O00902,4,2
R00903,O00903,3,14
R00904,O00904,3,13
R00905,O00905,4,16
R00906,O00906,4,16
R00907,O00907,5,17
R00908,O00908,4,1
R00909,O00909,4,11
R00910,O00910,5,16
R00911,O00911,5,17
R00912,O00912,4,10
R00913,O00913,5,16
R00914,O00914,5,15
R00915,O00915,2,1
R00916,O00916,4,16
R00917,O00917,3,11
R00918,O00918,5,10
R00919,O00919,4,4
R00920,O00920,4,16
R00921,O00921,5,6
R00922,O00922,4,8
R00923,O00923,4,6
R00924,O00924,5,17
R00925,O00925,5,9
R00926,O00926,5,2
R00927,O00927,3,1
R00928,O00928,2,17
R00929,O00929,3,5
R00930,O00930,4,14
R00931,O00931,3,1
R00932,O00932,5,16
R00933,O00933,5,12
R00934,O00934,4,4
R00935,O00935,3,16
R00936,O00936,4,6
R00937,O00937,4,17
R00938,O00938,5,11
R00939,O00939,2,8
R00940,O00940,5,1
R00941,O00941,2,5
R00942,O00942,3,1
R00943,O00943,5,15
R00944,O00944,3,2
R00945,O00945,2,2
R00946,O00946,5,3
R00947,O00947,4,17
R00948,O00948,2,17
R00949,O00949,1,13
R00950,O00950,2,2
R00951,O00951,4,9
R00952,O00952,3,17
R00953,O00953,5,2
R00954,O00954,5,14
R00955,O00955,3,1
R00956,O00956,4,14
R00957,O00957,3,10
R00958,O00958,3,16
R00959,O00959,3,8
R00960,O00960,5,14
R00961,O00961,4,15
R00962,O00962,4,6
R00963,O00963,5,11
R00964,O00964,5,8
R00965,O00965,4,8
R00966,O00966,3,14
R00967,O00967,5,4
R00968,O00968,4,3
R00969,O00969,5,9
R00970,O00970,5,14
R00971,O00971,4,3
R00972,O00972,3,6
R00973,O00973,3,12
R00974,O00974,4,9
R00975,O00975,4,11
R00976,O00976,5,9
R00977,O00977,5,14
R00978,O00978,5,15
R00979,O00979,5,8
R00980,O00980,5,8
R00981,O00981,2,5
R00982,O00982,4,8
R00983,O00983,5,15
R00984,O00984,4,9
R00985,O00985,3,12
R00986,O00986,4,8
R00987,O00987,4,13
R00988,O00988,4,13
R00989,O00989,5,9
R00990,O00990,4,16
R00991,O00991,4,15
R00992,O00992,4,3
R00993,O00993,4,4
R00994,O00994,3,17
R00995,O00995,4,7
R00996,O00996,4,6
R00997,O00997,5,14
R00998,O00998,3,11
R00999,O00999,5,3
R01000,O01000,5,2
R01001,O01001,4,14
R01002,O01002,4,14
R01003,O01003,4,6
R01004,O01004,5,15
R01005,O01005,5,3
R01006,O01006,5,15
R01007,O01007,5,2
R01008,O01008,4,11
R01009,O01009,5,15
R01010,O01010,4,11
R01011,O01011,5,14
R01012,O01012,4,6
R01013,O01013,5,5
R01014,O01014,1,5
R01015,O01015,3,2
R01016,O01016,3,5
R01017,O01017,5,5
R01018,O01018,4,13
R01019,O01019,4,4
R01020,O01020,4,3
R01021,O01021,4,13
R01022,O01022,5,10
R01023,O01023,5,4
R01024,O01024,5,13
R01025,O01025,5,4
R01026,O01026,3,14
R01027,O01027,3,1
R01028,O01028,4,11
R01029,O01029,5,11
R01030,O01030,3,7
R01031,O01031,5,12
R01032,O01032,3,7
R01033,O01033,3,12
R01034,O01034,4,4
R01035,O01035,5,10
R01036,O01036,5,13
R01037,O01037,4,17
R01038,O01038,5,7
R01039,O01039,5,9
R01040,O01040,4,9
R01041,O01041,5,15
R01042,O01042,3,17
R01043,O01043,4,11
R01044,O01044,2,14
R01045,O01045,4,2
R01046,O01046,4,13
R01047,O01047,2,14
R01048,O01048,4,13
R01049,O01049,5,10
R01050,O01050,5,16
R01051,O01051,1,12
R01052,O01052,2,15
R01053,O01053,4,4
R01054,O01054,5,12
R01055,O01055,5,8
R01056,O01056,4,15
R01057,O01057,5,15
R01058,O01058,4,15
R01059,O01059,5,4
R01060,O01060,2,9
R01061,O01061,4,1
R01062,O01062,4,17
R01063,O01063,4,5
R01064,O01064,1,11
R01065,O01065,1,9
R01066,O01066,4,16
R01067,O01067,5,14
R01068,O01068,5,14
R01069,O01069,3,11
R01070,O01070,5,3
R01071,O01071,4,16
R01072,O01072,5,2
R01073,O01073,2,8
R01074,O01074,5,7
R01075,O01075,5,7
R01076,O01076,5,17
R01077,O01077,5,4
R01078,O01078,4,10
R01079,O01079,5,4
R01080,O01080,4,16
R01081,O01081,4,13
R01082,O01082,5,8
R01083,O01083,3,2
R01084,O01084,4,3
R01085,O01085,5,5
R01086,O01086,3,7
R01087,O01087,3,16
R01088,O01088,4,3
R01089,O01089,5,10
R01090,O01090,5,6
R01091,O01091,2,1
R01092,O01092,5,11
R01093,O01093,4,12
R01094,O01094,5,17
R01095,O01095,5,9
R01096,O01096,5,6
R01097,O01097,4,15
R01098,O01098,3,5
R01099,O01099,4,12
R01100,O01100,4,17
R01101,O01101,4,1
R01102,O01102,2,16
R01103,O01103,3,4
R01104,O01104,5,9
R01105,O01105,2,5
R01106,O01106,4,3
R01107,O01107,5,12
R01108,O01108,1,9
R01109,O01109,3,9
R01110,O01110,4,9
R01111,O01111,4,13
R01112,O01112,4,17
R01113,O01113,5,9
R01114,O01114,3,3
R01115,O01115,1,6
R01116,O01116,1,9
R01117,O01117,4,2
R01118,O01118,4,4
R01119,O01119,5,4
R01120,O01120,1,17
R01121,O01121,4,7
R01122,O01122,4,15
R01123,O01123,5,10
R01124,O01124,5,9
R01125,O01125,1,16
R01126,O01126,5,12
R01127,O01127,4,5
R01128,O01128,5,5
R01129,O01129,3,12
R01130,O01130,5,1
R01131,O01131,5,3
R01132,O01132,5,2
R01133,O01133,3,13
R01134,O01134,5,8
R01135,O01135,5,1
R01136,O01136,4,13
R01137,O01137,4,12
R01138,O01138,3,13
R01139,O01139,3,3
R01140,O01140,5,15
R01141,O01141,4,4
R01142,O01142,5,10
R01143,O01143,5,10
R01144,O01144,5,4
R01145,O01145,5,7
R01146,O01146,5,1
R01147,O01147,4,9
R01148,O01148,3,12
R01149,O01149,5,6
R01150,O01150,5,10
R01151,O01151,4,17
R01152,O01152,5,4
R01153,O01153,5,5
R01154,O01154,4,3
R01155,O01155,5,10
R01156,O01156,5,4
R01157,O01157,3,15
R01158,O01158,1,5
R01159,O01159,4,12
R01160,O01160,5,4
R01161,O01161,4,6
R01162,O01162,5,3
R01163,O01163,5,10
