customer_id,city,signup_date
C0151,Kolkata,2023-03-21
C0152,Delhi,2024-04-01
C0153,Ahmedabad,2024-11-04
C0154,Delhi,2024-08-30
C0155,Hyderabad,2023-07-11
C0156,Chennai,2023-11-14
C0157,Mumbai,2024-01-07
C0158,Pune,2023-06-23
C0159,Pune,2023-07-08
C0160,Kolkata,2023-06-15
C0161,Ahmedabad,2024-11-27
C0162,Chennai,2024-06-06
C0163,Hyderabad,2024-08-11
C0164,Hyderabad,2024-07-25
C0165,Hyderabad,2024-11-02
C0166,Kolkata,2023-03-15
C0167,Delhi,2024-09-09
C0168,Mumbai,2023-02-16
C0169,Delhi,2023-11-29
C0170,Bengaluru,2024-02-21
C0171,Bengaluru,2023-09-08
C0172,Bengaluru,2023-04-13
C0173,Kolkata,2023-05-15
C0174,Chennai,2024-07-31
C0175,Chennai,2023-08-12
C0176,Hyderabad,2023-08-06
C0177,Chennai,2024-10-08
C0178,Mumbai,2023-04-11
C0179,Ahmedabad,2024-10-02
C0180,Pune,2024-10-06
C0181,Ahmedabad,2024-02-23
C0182,Mumbai,2023-04-26
C0183,Hyderabad,2023-04-20
C0184,Chennai,2023-07-19
C0185,Hyderabad,2024-02-09
C0186,Hyderabad,2023-04-18
C0187,Mumbai,2023-11-15
C0188,Hyderabad,2023-03-22
C0189,Mumbai,2024-01-14
C0190,Delhi,2023-01-15
C0191,Chennai,2024-05-11
C0192,Chennai,2023-02-08
C0193,Pune,2023-05-17
C0194,Delhi,2023-05-03
C0195,Ahmedabad,2024-08-04
C0196,Bengaluru,2023-02-07
C0197,Delhi,2023-10-28
C0198,Bengaluru,2024-02-18
C0199,Delhi,2023-12-28
C0200,Ahmedabad,2024-04-21
C0201,Delhi,2024-07-16
C0202,Ahmedabad,2023-10-03
C0203,Hyderabad,2024-08-02
C0204,Chennai,2023-08-11
C0205,Hyderabad,2024-11-20
C0206,Delhi,2023-12-20
C0207,Kolkata,2024-05-30
C0208,Ahmedabad,2024-09-04
C0209,Delhi,2024-07-08
C0210,Kolkata,2024-08-18
C0211,Delhi,2024-01-11
C0212,Chennai,2023-01-31
C0213,Kolkata,2023-12-12
C0214,Hyderabad,2023-05-08
C0215,Chennai,2024-09-14
C0216,Delhi,2023-06-15
C0217,Bengaluru,2023-06-09
C0218,Bengaluru,2023-06-24
C0219,Hyderabad,2024-03-25
C0220,Ahmedabad,2024-02-04
C0221,Mumbai,2024-10-26
C0222,Hyderabad,2023-10-19
C0223,Chennai,2023-07-17
C0224,Mumbai,2023-02-04
C0225,Chennai,2023-01-05
C0226,Delhi,2023-09-19
C0227,Kolkata,2024-10-10
C0228,Pune,2024-01-02
C0229,Pune,2024-09-17
C0230,Mumbai,2023-03-13
C0231,Hyderabad,2023-03-07
C0232,Kolkata,2024-08-06
C0233,Bengaluru,2023-03-16
C0234,Kolkata,2023-02-06
C0235,Hyderabad,2023-10-10
C0236,Chennai,2024-10-09
C0237,Chennai,2024-04-27
C0238,Hyderabad,2023-03-11
C0239,Delhi,2024-08-08
C0240,Chennai,2024-08-13
C0241,Mumbai,2024-07-14
C0242,Pune,2024-09-23
C0243,Bengaluru,2023-06-17
C0244,Chennai,2024-11-16
C0245,Chennai,2023-08-13
C0246,Bengaluru,2024-07-15
C0247,Kolkata,2024-02-10
C0248,Hyderabad,2024-06-29
C0249,Kolkata,2024-03-15
C0250,Bengaluru,2024-03-25
C0251,Mumbai,2024-03-07
C0252,Hyderabad,2024-06-29
C0253,Mumbai,2024-06-01
C0254,Delhi,2023-04-05
C0255,Chennai,2024-08-01
C0256,Mumbai,2024-01-11
C0257,Chennai,2023-08-15
C0258,Bengaluru,2023-12-26
C0259,Mumbai,2024-11-07
C0260,Pune,2024-08-23
C0261,Kolkata,2024-08-06
C0262,Mumbai,2023-11-20
C0263,Delhi,2024-07-02
C0264,Ahmedabad,2023-09-27
C0265,Ahmedabad,2024-04-25
C0266,Pune,2024-03-23
C0267,Hyderabad,2023-06-24
C0268,Delhi,2023-07-06
C0269,Pune,2023-02-12
C0270,Pune,2023-04-08
C0271,Delhi,2023-10-31
C0272,Bengaluru,2023-12-01
C0273,Mumbai,2023-04-26
C0274,Ahmedabad,2023-10-19
C0275,Hyderabad,2024-02-27
C0276,Hyderabad,2023-06-12
C0277,Hyderabad,2023-08-25
C0278,Kolkata,2023-09-15
C0279,Bengaluru,2023-12-20
C0280,Bengaluru,2023-09-14
C0281,Delhi,2024-05-30
C0282,Hyderabad,2023-08-18
C0283,Chennai,2023-10-31
C0284,Hyderabad,2023-09-23
C0285,Hyderabad,2023-05-09
C0286,Ahmedabad,2024-04-25
C0287,Mumbai,2023-06-14
C0288,Pune,2023-07-27
C0289,Pune,2024-07-08
C0290,Hyderabad,2024-10-26
C0291,Kolkata,2024-04-14
C0292,Delhi,2024-10-03
C0293,Ahmedabad,2024-08-20
C0294,Delhi,2023-12-03
C0295,Pune,2024-06-23
C0296,Pune,2023-08-18
C0297,Kolkata,2023-11-19
C0298,Hyderabad,2024-01-10
C0299,Delhi,2024-11-03
C0300,Bengaluru,2024-08-16
C0301,Delhi,2023-12-09
C0302,Kolkata,2024-04-01
C0303,Bengaluru,2023-05-22
C0304,Ahmedabad,2024-07-17
C0305,Pune,2024-01-23
C0306,Mumbai,2024-01-08
C0307,Delhi,2024-06-20
C0308,Pune,2024-03-19
C0309,Delhi,2023-02-20
C0310,Bengaluru,2023-07-21
C0311,Chennai,2023-05-04
C0312,Chennai,2024-05-29
C0313,Bengaluru,2023-01-25
C0314,Delhi,2023-05-22
C0315,Mumbai,2024-02-23
C0316,Chennai,2024-05-01
C0317,Chennai,2023-12-19
C0318,Chennai,2024-08-25
C0319,Ahmedabad,2024-10-05
C0320,Kolkata,2023-04-03
C0321,Delhi,2024-10-28
C0322,Bengaluru,2024-03-06
C0323,Pune,2024-03-21
C0324,Ahmedabad,2023-03-08
C0325,Ahmedabad,2024-03-11
C0326,Mumbai,2024-05-23
C0327,Mumbai,2024-02-11
C0328,Bengaluru,2023-03-01
C0329,Mumbai,2024-01-02
C0330,Pune,2024-10-17
C0331,Pune,2024-05-21
C0332,Delhi,2023-04-07
C0333,Delhi,2024-11-02
C0334,Kolkata,2024-11-02
C0335,Hyderabad,2023-04-29
C0336,Kolkata,2024-07-14
C0337,Ahmedabad,2023-10-12
C0338,Delhi,2024-02-20
C0339,Mumbai,2023-11-08
C0340,Ahmedabad,2024-07-01
C0341,Chennai,2024-11-28
C0342,Delhi,2024-07-10
C0343,Pune,2024-10-13
C0344,Pune,2024-10-24
C0345,Ahmedabad,2023-03-05
C0346,Delhi,2023-06-27
C0347,Ahmedabad,2024-05-20
C0348,Ahmedabad,2024-02-18
C0349,Mumbai,2023-02-05
C0350,Mumbai,2023-03-08
