order_id,product_id,category,quantity,unit_price,line_revenue
O00029,P0119,Sports,3,179.01,537.03
O00030,P0090,Books,3,933.13,2799.39
O00030,P0136,Home,3,245.39,736.17
O00031,P0150,Beauty,2,58.82,117.64
O00031,P0064,Fashion,3,90.97,272.91
O00031,P0172,Fashion,1,70.57,70.57
O00032,P0125,Home,2,79.51,159.02
O00033,P0005,Sports,1,213.93,213.93
O00034,P0117,Fashion,1,225.4,225.4
O00035,P0075,Home,2,206.3,412.6
O00035,P0049,Beauty,1,157.03,157.03
O00036,P0049,Home,1,254.27,254.27
O00037,P0142,Books,1,180.66,180.66
O00038,P0168,Fashion,3,285.6,856.8
O00038,P0101,Beauty,3,138.3,414.9
O00039,P0070,Toys,1,231.06,231.06
O00040,P0123,Sports,1,88.67,88.67
O00040,P0075,Books,3,114.16,342.48
O00041,P0099,Sports,2,105.47,210.94
O00042,P0024,Electronics,2,106.5,213.0
O00042,P0112,Books,2,87.33,174.66
O00043,P0075,Fashion,3,1053.41,3160.23
O00043,P0015,Fashion,2,278.66,557.32
O00044,P0137,Sports,3,121.82,365.46
O00044,P0123,Toys,2,131.03,262.06
O00044,P0013,Books,2,104.83,209.66
O00045,P0067,Sports,3,129.13,387.39
O00046,P0014,Beauty,3,42.49,127.47
O00046,P0050,Toys,2,252.54,505.08
O00047,P0109,Beauty,2,141.81,283.62
O00047,P0026,Fashion,1,202.82,202.82
O00048,P0003,Fashion,3,109.11,327.33
O00048,P0121,Home,3,199.19,597.57
O00048,P0100,Electronics,2,77.06,154.12
O00049,P0030,Books,2,141.2,282.4
O00050,P0151,Beauty,2,40.58,81.16
O00050,P0022,Books,3,382.29,1146.87
O00050,P0038,Home,3,117.85,353.55
O00051,P0147,Electronics,3,105.11,315.33
O00052,P0084,Books,3,114.17,342.51
O00052,P0175,Beauty,1,52.77,52.77
O00053,P0153,Sports,1,46.45,46.45
O00054,P0026,Sports,2,143.32,286.64
O00054,P0128,Fashion,2,127.17,254.34
O00054,P0111,Sports,3,295.31,885.93
O00055,P0024,Fashion,3,165.9,497.7
O00056,P0146,Sports,3,178.98,536.94
O00057,P0068,Fashion,1,124.98,124.98
O00057,P0083,Toys,3,88.91,266.73
O00057,P0147,Beauty,3,168.74,506.22
O00058,P0155,Beauty,3,290.37,871.11
O00058,P0032,Electronics,2,128.06,256.12
O00059,P0070,Books,2,269.88,539.76
O00059,P0039,Toys,2,174.99,349.98
O00060,P0166,Home,1,665.42,665.42
O00060,P0045,Fashion,1,404.14,404.14
O00060,P0025,Home,1,222.45,222.45
O00061,P0105,Beauty,3,131.8,395.4
O00061,P0109,Fashion,2,182.59,365.18
O00061,P0062,Electronics,2,157.62,315.24
O00062,P0017,Electronics,3,1009.95,3029.85
O00062,P0147,Beauty,1,224.48,224.48
O00063,P0039,Toys,2,116.3,232.6
O00064,P0156,Toys,1,66.39,66.39
O00065,P0060,Toys,1,195.66,195.66
O00065,P0128,Home,3,244.66,733.98
O00065,P0037,Toys,1,44.66,44.66
O00066,P0011,Electronics,3,475.78,1427.34
O00067,P0024,Books,1,150.25,150.25
O00067,P0062,Electronics,3,105.31,315.93
O00068,P0078,Home,1,196.61,196.61
O00069,P0026,Toys,2,59.66,119.32
O00070,P0014,Books,2,397.28,794.56
O00070,P0117,Home,1,87.45,87.45
O00071,P0067,Home,2,111.11,222.22
O00071,P0105,Beauty,1,89.29,89.29
O00071,P0040,Home,1,28.85,28.85
O00072,P0012,Toys,1,48.48,48.48
O00072,P0176,Fashion,3,519.9,1559.7
O00073,P0058,Home,3,232.67,698.01
O00073,P0120,Home,1,126.25,126.25
O00074,P0024,Beauty,2,48.6,97.2
O00074,P0064,Toys,1,71.63,71.63
O00074,P0054,Fashion,3,808.93,2426.79
O00075,P0143,Beauty,1,31.01,31.01
O00075,P0110,Electronics,1,118.93,118.93
O00076,P0167,Fashion,1,195.71,195.71
O00077,P0099,Books,1,68.64,68.64
O00078,P0016,Electronics,3,276.4,829.2
O00079,P0035,Electronics,3,54.38,163.14
O00079,P0132,Sports,1,251.81,251.81
O00079,P0117,Books,2,320.35,640.7
O00080,P0163,Electronics,2,343.71,687.42
O00080,P0139,Books,2,418.35,836.7
O00081,P0118,Electronics,2,82.56,165.12
O00082,P0008,Sports,3,143.25,429.75
O00082,P0135,Books,2,37.37,74.74
O00082,P0135,Fashion,1,89.22,89.22
O00083,P0062,Beauty,1,111.56,111.56
O00083,P0129,Fashion,1,296.42,296.42
O00084,P0098,Fashion,1,295.38,295.38
O00084,P0057,Sports,2,371.17,742.34
O00084,P0171,Home,1,213.13,213.13
O00085,P0174,Sports,2,84.53,169.06
O00085,P0081,Books,3,96.29,288.87
O00086,P0118,Beauty,1,173.05,173.05
O00087,P0158,Beauty,3,92.96,278.88
O00087,P0116,Books,2,184.73,369.46
O00087,P0018,Home,2,255.36,510.72
O00088,P0078,Books,2,115.55,231.1
O00088,P0081,Beauty,3,84.42,253.26
O00088,P0053,Sports,2,201.94,403.88
O00089,P0158,Toys,1,180.98,180.98
O00090,P0028,Home,2,91.54,183.08
O00091,P0134,Sports,1,301.32,301.32
O00091,P0034,Beauty,2,94.19,188.38
O00091,P0039,Books,1,277.73,277.73
O00092,P0092,Toys,2,403.77,807.54
O00093,P0079,Fashion,1,206.19,206.19
O00093,P0163,Books,1,335.76,335.76
O00094,P0131,Books,1,240.05,240.05
O00095,P0058,Books,1,137.12,137.12
O00095,P0110,Fashion,3,118.55,355.65
O00095,P0048,Toys,1,170.16,170.16
O00096,P0057,Fashion,3,50.41,151.23
O00096,P0099,Sports,2,94.57,189.14
O00097,P0076,Toys,3,170.29,510.87
O00097,P0093,Sports,1,107.43,107.43
O00098,P0163,Books,2,89.37,178.74
O00098,P0009,Electronics,3,146.6,439.8
O00099,P0062,Home,2,158.31,316.62
O00100,P0136,Books,2,54.03,108.06
O00101,P0001,Fashion,3,132.2,396.6
O00102,P0092,Fashion,1,154.89,154.89
O00102,P0006,Home,1,138.46,138.46
O00102,P0014,Electronics,3,221.51,664.53
O00103,P0060,Fashion,1,113.16,113.16
O00103,P0104,Home,3,244.55,733.65
O00103,P0007,Home,1,176.17,176.17
O00104,P0120,Fashion,2,95.59,191.18
O00104,P0154,Electronics,2,198.48,396.96
O00104,P0006,Beauty,2,138.96,277.92
O00105,P0072,Fashion,1,132.94,132.94
O00105,P0173,Beauty,3,399.87,1199.61
O00105,P0046,Electronics,3,23.84,71.52
O00106,P0062,Books,3,103.86,311.58
O00106,P0118,Books,3,271.08,813.24
O00106,P0139,Home,3,304.4,913.2
O00107,P0088,Toys,3,44.64,133.92
O00107,P0019,Toys,2,251.7,503.4
O00107,P0170,Fashion,1,86.86,86.86
O00108,P0179,Fashion,1,43.15,43.15
O00109,P0178,Fashion,3,201.42,604.26
O00109,P0159,Books,1,220.4,220.4
O00110,P0037,Home,3,542.01,1626.03
O00111,P0110,Home,1,27.3,27.3
O00111,P0042,Beauty,3,151.55,454.65
O00111,P0081,Sports,2,219.41,438.82
O00112,P0064,Home,1,84.26,84.26
O00113,P0102,Home,2,293.61,587.22
O00113,P0061,Home,1,94.45,94.45
O00114,P0084,Beauty,3,190.51,571.53
O00115,P0090,Beauty,1,300.98,300.98
O00116,P0128,Books,1,74.88,74.88
O00116,P0100,Electronics,3,86.79,260.37
O00116,P0124,Home,1,71.03,71.03
O00117,P0127,Home,3,170.91,512.73
O00117,P0069,Sports,2,183.78,367.56
O00118,P0118,Books,2,128.02,256.04
O00118,P0025,Fashion,3,401.02,1203.06
O00118,P0129,Electronics,2,158.54,317.08
O00119,P0004,Toys,1,44.11,44.11
O00120,P0061,Beauty,1,193.11,193.11
O00121,P0096,Home,2,100.3,200.6
O00122,P0006,Fashion,3,310.04,930.12
O00122,P0166,Beauty,2,58.58,117.16
O00122,P0159,Fashion,3,57.87,173.61
O00123,P0123,Books,3,66.93,200.79
O00124,P0146,Fashion,2,211.15,422.3
O00124,P0091,Toys,3,156.27,468.81
O00125,P0126,Toys,2,88.03,176.06
O00125,P0008,Fashion,3,103.79,311.37
O00126,P0052,Books,3,34.13,102.39
O00126,P0175,Electronics,3,156.88,470.64
O00127,P0008,Toys,2,145.44,290.88
O00128,P0179,Beauty,1,114.74,114.74
O00128,P0109,Beauty,3,655.35,1966.05
O00128,P0035,Home,1,222.16,222.16
O00129,P0074,Electronics,2,82.25,164.5
O00129,P0106,Toys,1,47.11,47.11
O00129,P0147,Fashion,2,84.24,168.48
O00130,P0057,Electronics,3,654.62,1963.86
O00131,P0070,Fashion,1,149.33,149.33
O00131,P0169,Home,3,325.54,976.62
O00131,P0158,Sports,2,183.17,366.34
O00132,P0080,Books,1,136.45,136.45
O00133,P0004,Sports,3,207.3,621.9
O00133,P0148,Toys,2,113.24,226.48
O00134,P0011,Sports,3,1465.16,4395.48
O00134,P0058,Home,1,198.97,198.97
O00135,P0042,Toys,3,92.96,278.88
O00136,P0058,Home,1,243.05,243.05
O00136,P0151,Books,1,397.59,397.59
O00136,P0171,Home,1,171.24,171.24
O00137,P0161,Home,2,232.42,464.84
O00137,P0131,Electronics,2,81.94,163.88
O00137,P0082,Toys,3,173.38,520.14
O00138,P0100,Beauty,2,210.73,421.46
O00138,P0118,Books,3,414.04,1242.12
O00138,P0043,Books,1,208.03,208.03
O00139,P0126,Fashion,3,294.93,884.79
O00139,P0044,Sports,3,324.51,973.53
O00139,P0160,Toys,2,182.05,364.1
O00140,P0070,Fashion,3,78.98,236.94
O00140,P0027,Sports,2,92.78,185.56
O00140,P0158,Home,2,188.64,377.28
O00141,P0169,Books,2,60.95,121.9
O00141,P0130,Sports,2,195.63,391.26
O00142,P0005,Toys,1,113.2,113.2
O00143,P0041,Beauty,1,113.89,113.89
O00143,P0092,Toys,2,25.09,50.18
O00144,P0148,Sports,1,111.36,111.36
O00144,P0036,Home,2,90.03,180.06
O00145,P0117,Home,1,198.28,198.28
O00145,P0110,Beauty,2,80.96,161.92
O00145,P0029,Sports,2,156.39,312.78
O00146,P0134,Fashion,3,93.54,280.62
O00146,P0139,Fashion,1,108.81,108.81
O00146,P0165,Fashion,2,89.51,179.02
O00147,P0030,Fashion,3,148.44,445.32
O00147,P0128,Sports,2,187.8,375.6
O00148,P0169,Sports,1,152.4,152.4
O00149,P0052,Home,2,176.3,352.6
O00149,P0055,Books,1,143.05,143.05
O00149,P0043,Beauty,1,76.45,76.45
O00150,P0098,Beauty,2,159.19,318.38
O00150,P0043,Electronics,1,161.02,161.02
O00151,P0162,Sports,3,308.45,925.35
O00152,P0104,Home,3,42.96,128.88
O00152,P0069,Beauty,2,432.68,865.36
O00152,P0055,Fashion,2,222.32,444.64
O00153,P0158,Books,1,106.74,106.74
O00154,P0082,Books,3,35.62,106.86
O00154,P0051,Fashion,2,105.7,211.4
O00154,P0151,Fashion,1,190.74,190.74
O00155,P0119,Electronics,3,197.35,592.05
O00155,P0122,Beauty,2,66.45,132.9
O00155,P0009,Books,1,53.24,53.24
O00156,P0075,Electronics,2,267.94,535.88
O00156,P0120,Beauty,1,583.06,583.06
O00156,P0030,Electronics,2,188.16,376.32
O00157,P0043,Home,3,32.12,96.36
O00157,P0004,Books,3,130.92,392.76
O00158,P0021,Books,1,49.98,49.98
O00159,P0116,Sports,2,512.89,1025.78
O00159,P0083,Toys,2,31.76,63.52
O00160,P0044,Electronics,3,106.62,319.86
O00160,P0059,Sports,3,184.71,554.13
O00161,P0138,Fashion,1,246.06,246.06
O00162,P0038,Toys,2,227.63,455.26
O00162,P0049,Home,1,453.92,453.92
O00162,P0005,Fashion,2,69.91,139.82
O00163,P0080,Home,3,176.83,530.49
O00164,P0141,Fashion,2,72.98,145.96
O00164,P0072,Sports,2,143.46,286.92
O00164,P0069,Sports,2,438.33,876.66
O00165,P0140,Fashion,1,102.18,102.18
O00166,P0106,Home,3,45.23,135.69
O00166,P0078,Toys,2,135.02,270.04
O00166,P0176,Beauty,1,132.24,132.24
O00167,P0172,Sports,1,184.56,184.56
O00167,P0132,Home,2,384.03,768.06
O00167,P0174,Books,2,54.86,109.72
O00168,P0121,Sports,1,246.97,246.97
O00168,P0118,Toys,2,56.07,112.14
O00168,P0021,Home,2,142.99,285.98
O00169,P0018,Electronics,2,193.36,386.72
O00170,P0075,Toys,1,110.38,110.38
O00170,P0064,Fashion,1,55.79,55.79
O00170,P0037,Beauty,1,32.76,32.76
O00171,P0040,Home,3,159.32,477.96
O00172,P0085,Books,3,150.43,451.29
O00172,P0134,Toys,1,149.11,149.11
O00173,P0005,Electronics,2,57.92,115.84
O00173,P0179,Beauty,3,835.84,2507.52
O00173,P0146,Home,3,123.04,369.12
O00174,P0136,Beauty,3,193.87,581.61
O00175,P0104,Fashion,3,96.36,289.08
O00176,P0030,Books,3,147.17,441.51
O00177,P0035,Electronics,3,83.77,251.31
O00177,P0150,Fashion,3,517.98,1553.94
O00178,P0119,Sports,1,212.47,212.47
O00178,P0176,Books,3,103.37,310.11
O00179,P0091,Electronics,1,172.6,172.6
O00179,P0033,Toys,3,174.26,522.78
O00179,P0089,Toys,3,94.75,284.25
O00180,P0038,Home,2,200.21,400.42
O00180,P0039,Beauty,3,78.85,236.55
O00180,P0072,Fashion,1,75.27,75.27
O00181,P0177,Electronics,2,106.17,212.34
O00181,P0134,Electronics,2,104.57,209.14
O00182,P0129,Home,3,59.42,178.26
O00182,P0155,Fashion,1,90.86,90.86
O00182,P0130,Fashion,1,73.29,73.29
O00183,P0105,Home,1,123.51,123.51
O00183,P0080,Books,2,361.61,723.22
O00183,P0116,Toys,2,289.52,579.04
O00184,P0091,Home,2,121.24,242.48
O00184,P0035,Beauty,2,70.85,141.7
O00184,P0028,Fashion,1,156.41,156.41
O00185,P0126,Books,1,125.8,125.8
O00185,P0061,Home,3,90.66,271.98
O00186,P0040,Fashion,3,181.83,545.49
O00186,P0003,Fashion,1,147.61,147.61
O00186,P0049,Fashion,2,78.24,156.48
O00187,P0039,Sports,1,240.66,240.66
O00187,P0036,Sports,1,40.57,40.57
O00187,P0023,Books,2,220.37,440.74
O00188,P0156,Electronics,3,119.98,359.94
O00189,P0103,Fashion,3,83.65,250.95
O00189,P0148,Toys,1,91.66,91.66
O00189,P0015,Fashion,1,516.32,516.32
O00190,P0146,Toys,2,205.14,410.28
O00190,P0081,Electronics,2,232.97,465.94
O00191,P0007,Books,1,126.57,126.57
O00191,P0020,Electronics,1,161.2,161.2
O00191,P0142,Toys,1,232.64,232.64
O00192,P0062,Sports,3,202.79,608.37
O00192,P0179,Electronics,3,468.49,1405.47
O00192,P0051,Fashion,2,184.56,369.12
O00193,P0001,Fashion,3,191.29,573.87
O00193,P0131,Sports,2,26.93,53.86
O00194,P0120,Electronics,2,115.91,231.82
O00194,P0043,Fashion,2,365.64,731.28
O00194,P0175,Toys,2,205.89,411.78
O00195,P0067,Beauty,3,44.94,134.82
O00195,P0146,Home,1,268.8,268.8
O00196,P0014,Electronics,2,120.92,241.84
O00196,P0045,Beauty,2,191.42,382.84
O00197,P0102,Home,2,115.38,230.76
O00197,P0076,Books,1,557.42,557.42
O00198,P0075,Fashion,2,142.9,285.8
O00199,P0174,Books,2,169.48,338.96
O00200,P0128,Sports,1,66.81,66.81
O00200,P0109,Sports,1,158.91,158.91
O00200,P0073,Toys,2,93.11,186.22
O00201,P0159,Toys,2,20.73,41.46
O00202,P0034,Home,3,224.44,673.32
O00202,P0115,Books,1,144.12,144.12
O00203,P0140,Electronics,2,537.89,1075.78
O00204,P0007,Fashion,1,257.48,257.48
O00205,P0156,Toys,2,43.3,86.6
O00205,P0045,Fashion,1,65.08,65.08
O00206,P0146,Toys,2,16.44,32.88
O00207,P0114,Toys,2,97.14,194.28
O00208,P0058,Fashion,1,274.97,274.97
O00208,P0166,Sports,2,144.08,288.16
O00209,P0049,Fashion,3,86.87,260.61
O00209,P0133,Beauty,2,76.61,153.22
O00210,P0047,Electronics,3,108.46,325.38
O00210,P0080,Toys,1,139.96,139.96
O00211,P0078,Fashion,2,96.09,192.18
O00212,P0118,Fashion,3,115.47,346.41
O00213,P0165,Beauty,3,866.53,2599.59
O00214,P0156,Beauty,3,258.96,776.88
O00214,P0025,Books,1,24.72,24.72
O00215,P0136,Beauty,2,165.02,330.04
O00215,P0057,Beauty,2,374.14,748.28
O00216,P0086,Books,2,76.88,153.76
O00217,P0079,Beauty,2,159.27,318.54
O00217,P0057,Fashion,1,94.22,94.22
O00217,P0131,Home,3,60.45,181.35
O00218,P0079,Electronics,2,98.0,196.0
O00218,P0037,Books,2,178.7,357.4
O00219,P0119,Electronics,2,191.08,382.16
O00219,P0043,Sports,1,138.97,138.97
O00219,P0162,Fashion,2,258.53,517.06
O00220,P0085,Books,3,179.08,537.24
O00220,P0074,Electronics,3,222.01,666.03
O00221,P0075,Sports,3,84.38,253.14
O00221,P0034,Books,3,100.22,300.66
O00222,P0109,Sports,1,98.65,98.65
O00223,P0159,Home,1,115.51,115.51
O00224,P0148,Beauty,1,21.72,21.72
O00224,P0077,Books,2,143.22,286.44
O00225,P0071,Home,1,327.22,327.22
O00226,P0118,Electronics,1,186.31,186.31
O00227,P0037,Electronics,1,121.0,121.0
O00228,P0023,Toys,1,113.09,113.09
O00228,P0094,Fashion,1,278.63,278.63
O00228,P0005,Fashion,2,143.53,287.06
O00229,P0159,Beauty,1,137.92,137.92
O00230,P0119,Toys,3,177.1,531.3
O00231,P0043,Beauty,2,71.13,142.26
O00232,P0078,Fashion,2,176.84,353.68
O00232,P0044,Books,1,517.74,517.74
O00233,P0142,Beauty,2,269.9,539.8
O00233,P0070,Toys,1,101.25,101.25
O00233,P0166,Books,2,183.24,366.48
O00234,P0126,Toys,2,192.02,384.04
O00234,P0020,Home,3,311.63,934.89
O00234,P0115,Toys,3,170.72,512.16
O00235,P0085,Fashion,1,116.94,116.94
O00236,P0036,Fashion,1,244.82,244.82
O00236,P0091,Books,3,59.49,178.47
O00237,P0090,Books,3,116.3,348.9
O00237,P0159,Toys,1,184.79,184.79
O00237,P0103,Electronics,3,49.91,149.73
O00238,P0123,Fashion,1,593.98,593.98
O00238,P0040,Fashion,1,16.82,16.82
O00238,P0169,Toys,3,138.75,416.25
O00239,P0135,Home,2,189.64,379.28
O00240,P0074,Toys,1,108.5,108.5
O00240,P0131,Beauty,2,197.57,395.14
O00240,P0085,Beauty,2,146.93,293.86
O00241,P0087,Electronics,2,58.56,117.12
O00241,P0095,Sports,3,99.69,299.07
O00242,P0049,Beauty,2,113.22,226.44
O00242,P0028,Sports,2,144.34,288.68
O00242,P0176,Books,2,553.69,1107.38
O00243,P0069,Home,1,56.56,56.56
O00243,P0177,Toys,2,92.7,185.4
O00244,P0107,Fashion,1,252.31,252.31
O00244,P0118,Books,3,124.98,374.94
O00245,P0111,Beauty,1,59.09,59.09
O00245,P0041,Toys,2,69.32,138.64
O00246,P0044,Home,2,88.77,177.54
O00247,P0029,Books,1,343.88,343.88
O00247,P0103,Beauty,1,73.56,73.56
O00248,P0003,Electronics,1,143.99,143.99
O00249,P0111,Books,1,230.77,230.77
O00250,P0031,Electronics,2,118.52,237.04
O00250,P0105,Electronics,3,617.69,1853.07
O00251,P0038,Sports,2,346.62,693.24
O00251,P0020,Toys,3,102.48,307.44
O00252,P0144,Beauty,1,225.14,225.14
O00252,P0060,Books,1,211.85,211.85
O00252,P0037,Toys,2,79.07,158.14
O00253,P0062,Sports,1,158.7,158.7
O00254,P0119,Books,3,57.61,172.83
O00255,P0172,Fashion,1,108.74,108.74
O00256,P0061,Beauty,2,214.03,428.06
O00256,P0138,Books,1,101.6,101.6
O00256,P0118,Fashion,1,122.14,122.14
O00257,P0151,Books,3,173.86,521.58
O00257,P0043,Books,1,131.59,131.59
O00258,P0130,Sports,3,53.14,159.42
O00258,P0154,Fashion,1,81.58,81.58
O00259,P0172,Fashion,2,357.31,714.62
O00259,P0151,Fashion,2,108.64,217.28
O00259,P0058,Books,3,151.11,453.33
O00260,P0077,Electronics,2,353.69,707.38
O00261,P0020,Home,2,103.64,207.28
O00261,P0009,Sports,1,86.25,86.25
O00261,P0043,Beauty,2,69.28,138.56
O00262,P0101,Toys,3,44.24,132.72
O00262,P0044,Beauty,1,180.7,180.7
O00263,P0072,Electronics,2,264.95,529.9
O00264,P0042,Sports,2,55.11,110.22
O00265,P0176,Sports,2,186.05,372.1
O00265,P0088,Fashion,1,239.5,239.5
O00265,P0147,Fashion,2,498.7,997.4
O00266,P0099,Toys,3,92.96,278.88
O00267,P0031,Sports,2,242.2,484.4
O00267,P0078,Beauty,1,103.01,103.01
O00268,P0176,Books,3,132.57,397.71
O00269,P0044,Fashion,2,190.21,380.42
O00270,P0041,Fashion,1,327.33,327.33
O00270,P0177,Books,2,140.58,281.16
O00271,P0027,Home,2,629.87,1259.74
O00272,P0032,Electronics,3,227.29,681.87
O00272,P0065,Home,2,230.12,460.24
O00273,P0093,Sports,3,94.19,282.57
O00273,P0168,Sports,3,111.43,334.29
O00273,P0004,Sports,1,188.24,188.24
O00274,P0021,Toys,2,296.59,593.18
O00274,P0124,Toys,1,108.59,108.59
O00274,P0175,Toys,2,219.9,439.8
O00275,P0121,Home,2,223.77,447.54
O00276,P0040,Fashion,2,561.37,1122.74
O00276,P0052,Books,3,199.07,597.21
O00276,P0063,Beauty,2,104.98,209.96
O00277,P0061,Toys,2,141.73,283.46
O00277,P0166,Beauty,1,92.38,92.38
O00278,P0010,Electronics,3,116.71,350.13
O00278,P0101,Electronics,2,79.45,158.9
O00279,P0143,Fashion,2,91.13,182.26
O00280,P0023,Beauty,1,48.74,48.74
O00280,P0175,Beauty,2,199.79,399.58
O00281,P0040,Electronics,2,256.38,512.76
O00282,P0010,Beauty,2,479.19,958.38
O00282,P0061,Sports,1,77.19,77.19
O00283,P0101,Electronics,2,275.45,550.9
O00283,P0060,Electronics,1,319.09,319.09
O00283,P0139,Fashion,3,110.12,330.36
O00284,P0010,Books,3,131.75,395.25
O00284,P0085,Books,3,39.63,118.89
O00285,P0001,Electronics,2,356.53,713.06
O00286,P0082,Home,1,52.99,52.99
O00287,P0169,Fashion,2,46.71,93.42
O00288,P0117,Electronics,2,83.35,166.7
O00289,P0134,Beauty,1,33.48,33.48
O00289,P0115,Sports,1,73.22,73.22
O00289,P0150,Toys,3,148.1,444.3
O00290,P0009,Beauty,3,164.64,493.92
O00291,P0091,Toys,1,151.69,151.69
O00292,P0069,Books,2,112.97,225.94
O00292,P0062,Home,1,71.24,71.24
O00293,P0131,Fashion,3,127.39,382.17
O00294,P0134,Books,3,33.67,101.01
O00294,P0022,Beauty,3,92.4,277.2
O00295,P0175,Books,1,143.42,143.42
O00295,P0134,Sports,2,353.26,706.52
O00295,P0047,Books,3,198.5,595.5
O00296,P0083,Electronics,1,91.85,91.85
O00297,P0010,Electronics,3,159.14,477.42
O00298,P0014,Toys,3,369.93,1109.79
O00298,P0026,Toys,2,54.31,108.62
O00298,P0073,Books,1,183.69,183.69
O00299,P0007,Electronics,2,148.29,296.58
O00299,P0089,Home,1,315.13,315.13
O00300,P0078,Home,2,72.57,145.14
O00300,P0080,Toys,3,456.84,1370.52
O00301,P0035,Home,2,152.26,304.52
O00302,P0164,Beauty,1,113.76,113.76
O00303,P0128,Books,3,130.11,390.33
O00303,P0071,Home,2,258.98,517.96
O00304,P0049,Home,2,260.43,520.86
O00304,P0055,Toys,1,90.43,90.43
O00304,P0155,Books,1,54.83,54.83
O00305,P0099,Home,2,103.82,207.64
O00306,P0118,Home,3,388.08,1164.24
O00306,P0144,Fashion,1,157.11,157.11
O00306,P0179,Books,3,149.78,449.34
O00307,P0094,Beauty,2,118.36,236.72
O00307,P0105,Electronics,1,204.99,204.99
O00308,P0066,Beauty,3,130.65,391.95
O00309,P0156,Home,3,315.86,947.58
O00310,P0172,Books,2,450.2,900.4
O00310,P0153,Toys,3,59.57,178.71
O00310,P0136,Toys,3,140.0,420.0
O00311,P0032,Fashion,3,235.81,707.43
O00311,P0059,Electronics,3,209.86,629.58
O00312,P0170,Beauty,3,142.98,428.94
O00312,P0141,Books,1,460.08,460.08
O00312,P0091,Books,2,91.01,182.02
O00313,P0098,Toys,1,302.3,302.3
O00313,P0137,Toys,3,246.78,740.34
O00313,P0116,Beauty,2,75.98,151.96
O00314,P0133,Fashion,1,652.58,652.58
O00315,P0095,Electronics,2,93.11,186.22
O00316,P0007,Toys,1,142.28,142.28
O00317,P0172,Beauty,1,69.82,69.82
O00317,P0045,Toys,3,228.5,685.5
O00318,P0062,Home,3,160.31,480.93
O00318,P0015,Toys,2,212.3,424.6
O00319,P0089,Home,2,398.95,797.9
O00320,P0063,Home,2,65.35,130.7
O00320,P0027,Toys,2,127.26,254.52
O00320,P0138,Fashion,2,77.09,154.18
O00321,P0047,Sports,2,125.91,251.82
O00322,P0073,Electronics,1,112.65,112.65
O00323,P0129,Books,3,249.18,747.54
O00324,P0157,Electronics,3,216.2,648.6
O00325,P0127,Books,1,342.94,342.94
O00325,P0013,Books,2,226.12,452.24
